,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-03-02,7.05,7.09,7.25,6.89,1434645,1237837648.0,5.15,1.43,0.1,1.89
1,2015-03-03,7.05,6.86,7.05,6.85,1106427,936002688.0,2.82,-3.24,-0.23,1.46
2,2015-03-04,6.85,6.86,6.92,6.73,903309,755353952.0,2.77,0.0,0.0,1.19
3,2015-03-05,6.83,6.77,6.85,6.69,812309,673553296.0,2.33,-1.31,-0.09,1.07
4,2015-03-06,6.77,6.81,6.86,6.73,604472,504148768.0,1.92,0.59,0.04,0.8
5,2015-03-09,6.8,6.96,6.97,6.62,1015386,847193072.0,5.14,2.2,0.15,1.34
6,2015-03-10,6.96,6.88,6.99,6.86,709535,599661984.0,1.87,-1.15,-0.08,0.93
7,2015-03-11,6.89,6.85,6.97,6.82,688786,580831536.0,2.18,-0.44,-0.03,0.91
8,2015-03-12,6.86,6.88,6.96,6.79,747748,628191120.0,2.48,0.44,0.03,0.98
9,2015-03-13,6.91,7.01,7.09,6.88,1149448,980384288.0,3.05,1.89,0.13,1.51
10,2015-03-16,7.05,7.14,7.15,7.0,1354639,1167255856.0,2.14,1.85,0.13,1.78
11,2015-03-17,7.18,7.46,7.62,7.18,2780127,2486097232.0,6.16,4.48,0.32,3.66
12,2015-03-18,7.48,7.57,7.62,7.47,2096970,1901962800.0,2.01,1.47,0.11,2.76
13,2015-03-19,7.59,7.76,7.95,7.47,2682170,2490637360.0,6.34,2.51,0.19,3.53
14,2015-03-20,7.78,7.67,7.81,7.56,1756720,1611821296.0,3.22,-1.16,-0.09,2.31
15,2015-03-23,7.71,7.81,7.9,7.69,1919284,1788421504.0,2.74,1.83,0.14,2.53
16,2015-03-24,7.81,7.64,7.83,7.39,2225885,2031370320.0,5.63,-2.18,-0.17,2.93
17,2015-03-25,7.64,7.63,7.74,7.48,1645666,1503656736.0,3.4,-0.13,-0.01,2.17
18,2015-03-26,7.64,8.01,8.13,7.64,3245153,3088128448.0,6.42,4.98,0.38,4.27
